NAME,COMMON NAME,FAMILY,NATIVITY,HABIT,LOCATION and QUANTITY,ACCN #
Cistus monspeliensis,narrowleaf rockrose,Cistaceae,Throughout Mediterranean,SE,32 (1)                                                 ,1974-0884
Cistus osbeckiifolius,rockrose,Cistaceae,Canary Islands,SE,NURS (3)                                                 ,2009-0358
Cistus 'Peggy Sammons',rockrose,Cistaceae,Garden Origin,SE,58B (2)                                                 ,1993-0788
Cistus 'Ruby Cluster',rock rose,Cistaceae,Garden Origin,SE,"32B (1), 32 (4)",2017-0248
Cistus salviifolius,sageleaf rockrose,Cistaceae,Mediterranean,SE,"32B (11), 159 (27), 32 (1), 120A (1)",1994-0574
Cistus salviifolius 'Prostratus',sageleaf rockrose,Cistaceae, ,SE,32B (3)                                                 ,2017-0249
Cistus 'Snow Fire',rock rose,Cistaceae,Garden Origin,SE,NURS (3)                                                 ,2011-0116
Cistus x argenteus 'Silver Pink',rockrose,Cistaceae,Garden Origin,SE,32 (1)                                                 ,2009-0355
Cistus x hybridus,hybrid rockrose,Cistaceae,Garden Origin,SE,"33 (8), 32 (2), 58B (1), NURS (1), 32A (3)",1997-0796
Cistus x hybridus,hybrid rockrose,Cistaceae,Garden Origin,SE,NURS (1)                                                 ,2017-0245
Cistus x hybridus,hybrid rockrose,Cistaceae,Garden Origin,SE,55 (2)                                                 ,2016-0179
Cistus x pulverulentus 'Sunset',hybrid rockrose,Cistaceae,Garden Origin,SE,58B (1)                                                 ,2017-0251
Cistus x purpureus,hybrid rockrose,Cistaceae,Garden Origin,SE,32 (2)                                                 ,2017-0247
Cistus x purpureus,hybrid rockrose,Cistaceae,Garden Origin,SE,"21 (3), 33 (1)",1997-0846
Cistus x purpureus,hybrid rockrose,Cistaceae,Garden Origin,SE,32 (1)                                                 ,1997-0852
Cistus x skanbergii,hybrid rockrose,Cistaceae,Garden Origin,SE,NURS (11)                                                 ,2009-0359
Cistus x skanbergii,hybrid rockrose,Cistaceae,Garden Origin,SE,32 (5)                                                 ,2017-0250
Citrus,mandarin orange,Rutaceae,Garden Origin,SE,SEAS (1)                                                 ,1979-1139
Citrus,mandarin orange,Rutaceae,Garden Origin,SE,SEAS (2)                                                 ,1975-0465
Citrus aurantium var. myrtifolia 'Chinotto',myrtleleaf sour orange,Rutaceae,Garden Origin,SE,SEAS (9)                                                 ,1979-1069
Citrus 'Citremon', ,Rutaceae,Garden Origin,TE,SEAS (3)                                                 ,1999-0528
Citrus limon,lemon,Rutaceae, ,SE,SEAS (1)                                                 ,1979-1068
Citrus x meyeri 'Meyer',Meyer's lemon,Rutaceae,Garden Origin,SE,SEAS (1)                                                 ,1979-1067
Clarkia williamsonii,Fort Miller clarkia,Onagraceae,California,A,"NURS (48), 35A (7)",2008-0069
Claytonia sibirica,"Siberian springbeauty, Siberian miner's lettuce",Portulacaceae,Ala & BC to Calif & Minn,HD,22B (3)                                                 ,1997-0076
Clematis, ,Ranunculaceae, ,VD,NURS (6)                                                 ,2001-0459
Clematis (Alpina Group) 'Blue Bird', ,Ranunculaceae,Garden Origin,VD,128 (1)                                                 ,1982-0702
Clematis [Bijou] = 'EVIpo030', ,Ranunculaceae,Garden Origin,VD,70 (3)                                                 ,2012-0062
Clematis [PINK CHAMPAGNE] = 'Kakio', ,Ranunculaceae,Garden Origin,VD,96G (1)                                                 ,2017-0018
Clematis 'Abundance', ,Ranunculaceae,Garden Origin,VD,38C (1)                                                 ,2012-0148
Clematis alpina,alpine clematis,Ranunculaceae,"N, C&S Europe & N Asia",VD,NURS (2)                                                 ,1996-0235
Clematis alpina 'Frankie',alpine clematis,Ranunculaceae,Garden Origin,VD,117 (2)                                                 ,1992-0359
Clematis alpina 'Pamela Jackman',alpine clematis,Ranunculaceae,Garden Origin,VD,117 (1)                                                 ,1989-0151
Clematis alpina 'Ruby',alpine clematis,Ranunculaceae,Garden Origin,VD,117 (1)                                                 ,1989-0149
Clematis alpina 'Willy',alpine clematis,Ranunculaceae,Garden Origin,VD,117 (1)                                                 ,1992-0360
Clematis armandii,evergreen clematis,Ranunculaceae,C&W China,VE,"NURS (2), 121D (1)",2012-0003
Clematis armandii,evergreen clematis,Ranunculaceae,C&W China,VE,128 (1)                                                 ,1987-0393
Clematis armandii 'Snowdrift',evergreen clematis,Ranunculaceae,Garden Origin,VE,STOR (2)                                                 ,1997-0232
Clematis 'Belle of Woking', ,Ranunculaceae,Garden Origin,VD,NURS (1)                                                 ,1974-0258
Clematis 'Blue Ravine',(Cdn cv),Ranunculaceae,Garden Origin,VD,96C (1)                                                 ,1993-0007
Clematis 'Bracebridge Star', ,Ranunculaceae,Garden Origin,VD,46A (1)                                                 ,1974-0260
Clematis cirrhosa var. balearica,virgin's bower,Ranunculaceae,Corsica & Balearic Is,VE,32 (1)                                                 ,1992-0504
Clematis 'Comtesse de Bouchard', ,Ranunculaceae,Garden Origin,VD,CONT (1)                                                 ,1974-0266
Clematis 'Dawn', ,Ranunculaceae,Garden Origin,VD,117 (2)                                                 ,1992-0363
Clematis 'Doctor Ruppel', ,Ranunculaceae,Garden Origin,VD,96G (1)                                                 ,2017-0015
Clematis 'Duchess of Albany',hybrid clematis,Ranunculaceae,Garden Origin,VD,36A (1)                                                 ,2010-0324
Clematis 'Duchess of Albany',hybrid clematis,Ranunculaceae,Garden Origin,VD,27 (1)                                                 ,1982-0405
Clematis 'Elsa Spaeth', ,Ranunculaceae,Garden Origin,VD,130A (1)                                                 ,1974-0243
Clematis 'Gillian Blades', ,Ranunculaceae,Garden Origin,VD,96G (1)                                                 ,2017-0016
Clematis 'Gipsy Queen', ,Ranunculaceae,Garden Origin,VD,96C (1)                                                 ,1974-0242
Clematis 'Gladys Picard', ,Ranunculaceae,Garden Origin,VD,44 (1)                                                 ,1986-0210
Clematis 'Guiding Star', ,Ranunculaceae,Garden Origin,VD,LATH (1)                                                 ,1974-0250
Clematis 'H.F. Young', ,Ranunculaceae,Garden Origin,VD,96G (1)                                                 ,2017-0017
Clematis heracleifolia,tube clematis,Ranunculaceae,E China,HD,121 (1)                                                 ,2012-0337
Clematis heracleifolia,tube clematis,Ranunculaceae,E China,HD,"121C (1), 121E (1)",1993-0636
Clematis heracleifolia,tube clematis,Ranunculaceae,E China,HD,"121C (4), 1",1995-0542
Clematis hookeriana, ,Ranunculaceae,New Zealand,VE,55 (4)                                                 ,1996-0944
Clematis integrifolia,solitary clematis,Ranunculaceae,C Europe to C Asia,HD,32 (1)                                                 ,1974-0419
Clematis integrifolia,solitary clematis,Ranunculaceae,C Europe to C Asia,HD,55 (9)                                                 ,1994-0544
Clematis integrifolia,solitary clematis,Ranunculaceae,C Europe to C Asia,HD,"50Q (1), 50P (1), 121C (1)",1995-0590
Clematis integrifolia,solitary clematis,Ranunculaceae,C Europe to C Asia,HD,NURS (1)                                                 ,2008-0282
Clematis integrifolia,solitary clematis,Ranunculaceae,C Europe to C Asia,HD,32 (1)                                                 ,1973-0814
Clematis 'Jackmanii', ,Ranunculaceae,Garden Origin,VD,44 (1)                                                 ,1974-0241
Clematis 'Jan Pawel II', ,Ranunculaceae,Garden Origin,VD,117 (2)                                                 ,1992-0364
Clematis 'Lady Betty Balfour', ,Ranunculaceae,Garden Origin,VD,LATH (1)                                                 ,1974-0251
Clematis ligusticifolia,western white clematis,Ranunculaceae,"BC, s to Mo, NMex & Calif",VD,NURS (1)                                                 ,1998-0226
Clematis ligusticifolia,western white clematis,Ranunculaceae,"BC, s to Mo, NMex & Calif",VD,NURS (2)                                                 ,1997-0314
Clematis ligusticifolia,western white clematis,Ranunculaceae,"BC, s to Mo, NMex & Calif",VD,137C (1)                                                 ,1998-0187
Clematis macropetala 'Lagoon',downy clematis,Ranunculaceae,Garden Origin,VD,117 (1)                                                 ,1992-0362
Clematis macropetala 'Maidwell Hall',downy clematis,Ranunculaceae,Garden Origin,VD,117 (1)                                                 ,1989-0144
Clematis macropetala 'Markham's Pink',downy clematis,Ranunculaceae,Garden Origin,VD,117 (1)                                                 ,1989-0154
Clematis 'Madame Baron Veillard', ,Ranunculaceae,Garden Origin,VD,LATH (1)                                                 ,1974-0268
Clematis mandschurica, ,Ranunculaceae,China & Japan,VD,121C (3)                                                 ,1998-0103
Clematis 'Marie Boisselot', ,Ranunculaceae,Garden Origin,VD,12 (1)                                                 ,1996-0744
Clematis 'Minuet', ,Ranunculaceae,Garden Origin,VD,117 (1)                                                 ,1989-0145
Clematis montana,anemone clematis,Ranunculaceae,C&W China & Himalayas,VD,130A (1)                                                 ,1982-0709
Clematis montana,anemone clematis,Ranunculaceae,C&W China & Himalayas,VD,118 (2)                                                 ,1989-0137
Clematis montana 'Elizabeth',anemone clematis,Ranunculaceae,Garden Origin,VD,136 (1)                                                 ,1988-0097
Clematis montana 'Elizabeth',anemone clematis,Ranunculaceae,Garden Origin,VD,"147 (1), 148 (1)",1992-0361
Clematis montana 'Freda',anemone clematis,Ranunculaceae,Garden Origin,VD,117 (1)                                                 ,1989-0139
Clematis montana 'Odorata',anemone clematis,Ranunculaceae,Garden Origin,VD,117 (2)                                                 ,1989-0156
Clematis montana 'Pink Perfection',anemone clematis,Ranunculaceae,Garden Origin,VD,117 (1)                                                 ,1989-0160
Clematis montana 'Tetrarose',anemone clematis,Ranunculaceae,Garden Origin,VD,NURS (1)                                                 ,1993-0006
Clematis montana 'Tetrarose',anemone clematis,Ranunculaceae,Garden Origin,VD,44 (1)                                                 ,1982-0704
Clematis montana var. sericea,anemone clematis,Ranunculaceae,Yunnan,VD,117 (1)                                                 ,1989-0138
Clematis napaulensis, ,Ranunculaceae,SW China & N India,VE,121C (1)                                                 ,1993-0558
Clematis 'Niobe', ,Ranunculaceae,Garden Origin,VD,3 (1)                                                 ,1996-0746
Clematis 'Pagoda',clematis,Ranunculaceae,Garden Origin,HD,NURS (1)                                                 ,2010-0310
Clematis 'Perle d'Azur', ,Ranunculaceae,Garden Origin,VD,38A (1)                                                 ,2007-0193
Clematis recta,ground clematis,Ranunculaceae,C&S Europe,HD,32B (2)                                                 ,1990-0194
Clematis recta 'Purpurea',ground clematis,Ranunculaceae,Garden Origin,HD,39 (1)                                                 ,2010-0323
Clematis recta 'Purpurea',ground clematis,Ranunculaceae,Garden Origin,HD,NURS (2)                                                 ,1995-0737
Clematis 'Rooguchi', ,Ranunculaceae,Garden Origin,VD,26B (2)                                                 ,2014-0046
Clematis 'Rouge Cardinal', ,Ranunculaceae,Garden Origin,VD,96B (1)                                                 ,2017-0019
Clematis 'Royal Velours', ,Ranunculaceae,Garden Origin,VD,38A (1)                                                 ,2007-0194
Clematis 'Royalty', ,Ranunculaceae,Garden Origin,VD,117 (1)                                                 ,1992-0366
Clematis tangutica,golden clematis,Ranunculaceae,NW China & Mongolia,VD,136 (3)                                                 ,1983-0511
Clematis tangutica,golden clematis,Ranunculaceae,NW China & Mongolia,VD,117 (1)                                                 ,1989-0140
Clematis tangutica,golden clematis,Ranunculaceae,NW China & Mongolia,VD,85A (3)                                                 ,1983-0461
Clematis terniflora,sweet autumn clematis,Ranunculaceae,Japan,VD,39 (1)                                                 ,2009-0132
Clematis 'The President', ,Ranunculaceae,Garden Origin,VD,3 (1)                                                 ,1996-0745
Clematis tibetana, ,Ranunculaceae,"Chn (Sich, Tib), N India & W Nep",VD,128 (1)                                                 ,2016-0188
Clematis tibetana, ,Ranunculaceae,"Chn (Sich, Tib), N India & W Nep",VD,"NURS (28), 36A (1)",2002-0125
Clematis tibetana ssp. vernayi,orange-peel clematis,Ranunculaceae,Nepal & Tibet,VD,121C (1)                                                 ,1990-0553
Clematis 'Vancouver Cotton Candy', ,Ranunculaceae,Garden Origin,VD,NURS (16)                                                 ,2016-0089
Clematis 'Venosa Violacea', ,Ranunculaceae,Garden Origin,VD,117 (1)                                                 ,1989-0159
Clematis 'Victoria', ,Ranunculaceae,Garden Origin,VD,133B (1)                                                 ,1986-0209
Clematis 'Ville de Lyon', ,Ranunculaceae,Garden Origin,VD,14 (1)                                                 ,1996-0747
Clematis virginiana,woodbine,Ranunculaceae,"NS & Que to Man, La & Ga",VD,"107E (1), 107 (5)",1992-0131
Clematis vitalba,traveller's joy,Ranunculaceae,Eur & Medit to Afghan,VD,"13C (1), 13B (2), NURS (3)",1997-0577
Clematis viticella,Italian clematis,Ranunculaceae,S Europe & W Asia,VD,51 (1)                                                 ,1974-0217
Clematis viticella,Italian clematis,Ranunculaceae,S Europe & W Asia,VD,51 (1)                                                 ,1975-0188
Clematis viticella 'Purpurea Plena Elegans',double Italian clematis,Ranunculaceae,Garden Origin,VD,117 (1)                                                 ,1989-0148
Clematis viticella 'Rubra Grandiflora',Italian clematis,Ranunculaceae,Garden Origin,VD,117 (1)                                                 ,1989-0155
Clematis x cartmanii 'Joe', ,Ranunculaceae,Garden Origin,SD,NURS (1)                                                 ,2006-0123
Clematis x durandii,Durand's clematis,Ranunculaceae,Garden Origin,VD,117 (1)                                                 ,1989-0157
Clematis x durandii,Durand's clematis,Ranunculaceae,Garden Origin,VD,25 (2)                                                 ,2016-0106
Clematis x jouiniana 'Praecox',Jouin clematis,Ranunculaceae,Garden Origin,SD,117 (2)                                                 ,1989-0152
Clematis x triternata 'Rubromarginata', ,Ranunculaceae,Garden Origin,VD,40 (1)                                                 ,2012-0147
Clematis x triternata 'Rubromarginata', ,Ranunculaceae,Garden Origin,VD,NURS (1)                                                 ,2009-0136
Clematis x triternata 'Rubromarginata', ,Ranunculaceae,Garden Origin,VD,NURS (1)                                                 ,2010-0207
Clerodendrum bungei,glory flower,Lamiaceae,China & N India,SD,SEAS (1)                                                 ,2009-0541
Clerodendrum trichotomum,harlequin glorybower,Lamiaceae,China & Japan,TD,"NURS (2), 121 (1)",2012-0004
Clerodendrum trichotomum var. fargesii,harlequin glorybower,Lamiaceae,China (Sichuan),SD,44 (1)                                                 ,1983-0218
Clethra, ,Clethraceae, ,SD,74 (2)                                                 ,1992-0341
Clethra alnifolia,sweet pepperbush,Clethraceae,ENA,SD,117 (10)                                                 ,1989-0275
Clethra alnifolia,sweet pepperbush,Clethraceae,ENA,SD,96B (1)                                                 ,2017-0043
Clethra alnifolia,sweet pepperbush,Clethraceae,ENA,SD,27 (12)                                                 ,1979-1040
Clethra alnifolia 'Pink Spire',sweet pepperbush,Clethraceae,Garden Origin,SD,30 (1)                                                 ,1994-0101
Clethra alnifolia 'Pink Spire',sweet pepperbush,Clethraceae,Garden Origin,SD,107D (6)                                                 ,2013-0226
Clethra alnifolia 'Ruby Spice',sweet pepperbush,Clethraceae,Garden Origin,SD,"33A (3), 107D (1)",2003-0126
Clethra alnifolia 'Ruby Spice',sweet pepperbush,Clethraceae,Garden Origin,SD,"36B (1), 38C (1), 36C (1)",2005-0122
Clethra barbinervis,Japanese summersweet,Clethraceae,China & Japan,SD,26 (1)                                                 ,1973-0270
Clethra barbinervis,Japanese summersweet,Clethraceae,China & Japan,SD,85A (2)                                                 ,1979-0613
Clethra barbinervis,Japanese summersweet,Clethraceae,China & Japan,SD,86 (3)                                                 ,2013-0259
Clethra barbinervis,Japanese summersweet,Clethraceae,China & Japan,SD,86 (1)                                                 ,2012-0231
Clethra delavayi,summersweet,Clethraceae,"S & SE Asia (Chn, Ind, Bhut, Myan, Viet)",SD,122 (1)                                                 ,1981-0109
Clethra delavayi,summersweet,Clethraceae,"S & SE Asia (Chn, Ind, Bhut, Myan, Viet)",SD,"122 (1), 130D (1)",1987-0094
Clianthus puniceus,parrot's-bill,Fabaceae,New Zealand,VE,NURS (5)                                                 ,2009-0428
Clinopodium grandiflora,large-flowered calamint,Lamiaceae,"Europe, Anatolia & Iran",HD,32 (2)                                                 ,1996-0777
Clinopodium thymifolium,mountain mint,Lamiaceae,"Balkans, S Italy & Hung",HD,"TR15 (1), 51A (2), TR02 (1)",1994-0655
Clinopodium thymifolium,mountain mint,Lamiaceae,"Balkans, S Italy & Hung",HD,32 (3)                                                 ,1997-0615
Clintonia andrewsiana,beadlily,Liliaceae,N Cal & Ore (w/ redwoods),HD,22B (1)                                                 ,1977-0786
Clintonia borealis,"bluebead, cornlily",Liliaceae,E Canada & E USA,HD,NURS (246)                                                 ,2011-0230
Clintonia uniflora,"bluebead, queen's cup",Liliaceae,"Alaska to Calif, e to Alta & M",HD,"22A (10), 24D (26)",2012-0274
Clintonia uniflora,"bluebead, queen's cup",Liliaceae,"Alaska to Calif, e to Alta & M",HD,46D (100)                                                 ,1977-0785
Clintonia uniflora,"bluebead, queen's cup",Liliaceae,"Alaska to Calif, e to Alta & M",HD,NURS (568)                                                 ,2011-0238
Clitoria ternatea,"butterfly pea, pigeon wings",Fabaceae,Tropical Asia,VD,NURS (13)                                                 ,2009-0434
Clivia miniata, ,Amaryllidaceae,S Africa,HE,SEAS (1)                                                 ,1976-0200
Cneorum tricoccon,spurge olive,Rutaceae,Mediterranean,SE,NURS (12)                                                 ,2010-0298
Cobaea scandens f. alba,cup-and-saucer vine,Polemoniaceae,Garden Origin,VD,SEAS (3)                                                 ,1994-0466
Codonopsis affinis,twining bonnet bell flower,Campanulaceae,C Himalayas,HD,74 (11)                                                 ,1996-1128
Codonopsis clematidea,bonnet bell flower,Campanulaceae,Asia,HD,130A (14)                                                 ,1986-0058
Codonopsis lanceolata,bonnet bellflower,Campanulaceae,China & Japan,HD,121C (2)                                                 ,1996-0945
Colchicum autumnale,autumn crocus,Colchicaceae,W&C Europe to Russia,HD,25 (300)                                                 ,1975-0305
Colchicum autumnale,autumn crocus,Colchicaceae,W&C Europe to Russia,HD,"26B (100), 32A (100), 25 (200)",1975-0333
Colchicum bivonae,autumn crocus,Colchicaceae,S Eur to w Turkey,HD,"26B (3), 33 (10)",1999-0415
Colchicum 'The Giant',autumn crocus,Colchicaceae,Garden Origin,HD,"16 (50), 25 (50)",1987-0413
Colchicum 'Waterlily',autumn crocus,Colchicaceae,Garden Origin,HD,"26 (10), 51 (20)",1996-0339
Colocasia esculenta,"taro, coco-yam",Araceae,Tropical E Asia,HE,SEAS (1)                                                 ,1996-0900
Colocasia esculenta (redleaf cultivar),red taro,Araceae,Garden Origin,HE,55 (1)                                                 ,2002-0313
Colocasia esculenta 'Black Magic',black taro,Araceae,Garden Origin,HE,SEAS (4)                                                 ,1999-0232
Colocasia esculenta 'Chicago Harlequin',taro,Araceae,Garden Origin,HE,NURS (1)                                                 ,2009-0448
Colocasia esculenta 'Diamond Head',"elephant ear, taro",Araceae,Garden Origin,HE,NURS (2)                                                 ,2011-0176
Colocasia esculenta 'Elena',taro,Araceae,Garden Origin,HE,NURS (2)                                                 ,2009-0447
Colocasia esculenta 'Fontanesii',"taro, coco-yam",Araceae,Garden Origin,HE,55 (4)                                                 ,2002-0253
Colocasia esculenta 'Illustris',"taro, coco-yam",Araceae,Garden Origin,HE,SEAS (1)                                                 ,2005-0037
Colocasia esculenta 'Mojito',"taro, coco-yam",Araceae,Garden Origin,HE,NURS (3)                                                 ,2010-0288
Colocasia esculenta 'Mojito',"taro, coco-yam",Araceae,Garden Origin,HE,NURS (2)                                                 ,2011-0175
Colocasia esculenta 'Nancy's Revenge',taro,Araceae,Garden Origin,HE,NURS (6)                                                 ,2009-0450
Colocasia esculenta 'Pink China',taro,Araceae,Garden Origin,HE,NURS (3)                                                 ,2009-0449
Colocasia esculenta 'Ruffles',"elephant ear, taro",Araceae,Garden Origin,HE,NURS (2)                                                 ,2011-0177
Colquhounia coccinea,Himalayan mint shrub,Lamiaceae,Himalayas to SW China,SD,121E (1)                                                 ,1991-0652
Colutea arborescens,common bladder senna,Fabaceae,SE Europe & N Afr,SD,"55 (1), 32B (2)",1975-0552
Colutea x media,hybrid bladder senna,Fabaceae,Garden Origin,SD,55 (3)                                                 ,1999-0237
Comptonia peregrina,sweet fern,Myricaceae,ENA,SD,"137E (3), 136 (2), 33A (4)",1993-0752
Conandron ramondioides 'Akabana', ,Gesneriaceae,Garden Origin,HD,86 (3)                                                 ,2013-0238
Conandron ramondioides 'Momobana', ,Gesneriaceae,Garden Origin,HD,NURS (3)                                                 ,2013-0239
Conoclinium coelestinum,mistflower,Asteraceae,"Ont, C&E USA & W Indies",HD,133A (3)                                                 ,1993-0272
Convallaria majalis,lily-of-the-valley,Asparagaceae,Eurasia,HD,"39A (10), 96A (10), 38 (10), 107C (20), 27 (42)",1994-0069
Convallaria majalis,lily-of-the-valley,Asparagaceae,Eurasia,HD,STOR (10)                                                 ,1995-0468
Convallaria majalis 'Prolificans',lily-of-the-valley,Asparagaceae,Garden Origin,HD,NURS (25)                                                 ,2013-0025
Convolvulus cneorum,silverbush,Convolvulaceae,S Europe,SE,NURS (1)                                                 ,2011-0206
Convolvulus cneorum,silverbush,Convolvulaceae,S Europe,SE,"4 (3), 32A (10), 33 (10), 32 (1)",1993-0792
Coprosma, ,Rubiaceae, ,SE,"52 (9), 53 (10)",1990-0347
Coprosma 'Beatson's Gold',variegated coprosma,Rubiaceae,Garden Origin,SE,NURS (14)                                                 ,2006-0102
Coprosma brunnea,sand coprosma,Rubiaceae,New Zealand,SE,58C (2)                                                 ,1989-0276
Coprosma 'Galaxy', ,Rubiaceae,Garden Origin,SE,NURS (3)                                                 ,2017-0252
Coprosma 'Rainbow Surprise' (variegated),variegated Australian mirror bush,Rubiaceae,Garden Origin,SE,NURS (1)                                                 ,2009-0360
Coprosma x kirkii,dwarf mirror plant,Rubiaceae,New Zealand,SE,NURS (34)                                                 ,2009-0361
Coptis japonica var. dissecta,Japanese goldthread,Ranunculaceae,Japan,HE,86 (5)                                                 ,2013-0240
Cordyline australis,"New Zealand cabbage tree, ti kouka",Asparagaceae,New Zealand,TE,"58C (1), SEAS (7)",1993-0844
Cordyline fruticosa 'Red Sister',"good luck tree, ti tree",Asparagaceae,Garden Origin,SE,SEAS (2)                                                 ,2001-0342
Cordyline indivisa,"dracaena, mountain cabbage tree",Asparagaceae,New Zealand,SE,58A (1)                                                 ,2017-0283
Cordyline 'Purple Sensation',New Zealand cabbage tree,Asparagaceae,Garden Origin,SE,SEAS (1)                                                 ,2008-0255
Coreopsis auriculata 'Nana',ear-leaved tickseed,Asteraceae,Garden Origin,HD,51C (1)                                                 ,2015-0127
Coreopsis 'Full Moon',tickseed,Asteraceae,Garden Origin,HD,NURS (3)                                                 ,2010-0021
Coreopsis 'Pinwheel',tickseed,Asteraceae,Garden Origin,HD,NURS (10)                                                 ,2009-0078
Coreopsis verticillata,threadleaf tickseed,Asteraceae,"Md to Fla, w to Ark",HD,"107B (10), 13A (15), 10 (10), 107E (10), 27 (75), 71 (12)",1974-0972
Coreopsis verticillata 'Grandiflora',threadleaf tickseed,Asteraceae,Garden Origin,HD,50C (1)                                                 ,1993-0464
Coreopsis verticillata 'Moonbeam',threadleaf tickseed,Asteraceae,Garden Origin,HD,48S (24)                                                 ,2009-0334
Coreopsis verticillata 'Moonbeam',threadleaf tickseed,Asteraceae,Garden Origin,HD,"50C (1), 54 (2)",1993-0465
Coreopsis verticillata 'Zagreb',threadleaf tickseed,Asteraceae,Garden Origin,HD,27 (18)                                                 ,2015-0067
Coriaria terminalis var. xanthocarpa,yellow-fruited coriaria,Coriariaceae,Sikkim to Yunnan,SD,127B (15)                                                 ,1986-0032
Cornus [Constellation] = 'Rutcan',hybrid dogwood,Cornaceae,Garden Origin,TD,28 (1)                                                 ,1993-0955
Cornus [VENUS] = 'Kn30 8',hybrid dogwood,Cornaceae,Garden Origin,TD,NURS (3)                                                 ,2016-0227
Cornus alba [Ivory Halo] = 'Bailhalo',Tartarian dogwood,Cornaceae,Garden Origin,SD,55 (5)                                                 ,2012-0421
Cornus alba [Ivory Halo] = 'Bailhalo',Tartarian dogwood,Cornaceae,Garden Origin,SD,149A (5)                                                 ,2006-0005
Cornus alba [Prairie Fire] = 'Aurea',Tartarian dogwood,Cornaceae,Garden Origin,SD,"NURS (9), 13B (10), 127D (5)",2014-0175
Cornus alba 'Elegantissima',var'd Tartarian dogwood,Cornaceae,Garden Origin,SD,24B (1)                                                 ,2000-0030
Cornus alba 'Elegantissima',var'd Tartarian dogwood,Cornaceae,Garden Origin,SD,31 (10)                                                 ,1976-0001
Cornus alba 'Elegantissima',var'd Tartarian dogwood,Cornaceae,Garden Origin,SD,33 (3)                                                 ,1974-0293
Cornus alba 'Gouchaultii',var'd Tartarian dogwood,Cornaceae,Garden Origin,SD,33 (1)                                                 ,1974-0294
Cornus alba 'Kesselringii',Tartarian dogwood,Cornaceae,Garden Origin,SD,"90A (2), 13C (1), 15A (1)",1987-0409
Cornus alba 'Sibirica',Siberian dogwood,Cornaceae,Garden Origin,SD,"6A (15), 27W (1), 24B (5), 149A (6), 15A (4), 13C (4)",1976-0003
Cornus alba 'Sibirica',Siberian dogwood,Cornaceae,Garden Origin,SD,60 (1)                                                 ,1973-0312
Cornus alba 'Spaethii',var'd Tartarian dogwood,Cornaceae,Garden Origin,SD,90A (4)                                                 ,1990-0182
Cornus alternifolia,pagoda dogwood,Cornaceae,Man to NS & E USA,SD,137D (1)                                                 ,1997-0136
Cornus alternifolia 'Argentea',var'd pagoda dogwood,Cornaceae,Garden Origin,SD,10 (1)                                                 ,1994-0718
Cornus canadensis,bunchberry,Cornaceae,"N America, Asia",HD,NURS (10)                                                 ,2011-0276
Cornus canadensis,bunchberry,Cornaceae,"N America, Asia",HD,117 (1)                                                 ,1991-0379
Cornus canadensis,bunchberry,Cornaceae,"N America, Asia",HD,"24A (38), 19 (17), 23B (12)",2009-0579
Cornus canadensis,bunchberry,Cornaceae,"N America, Asia",HD,"NURS (67), 24A (2), 4 (3)",2009-0612
Cornus canadensis,bunchberry,Cornaceae,"N America, Asia",HD,117 (1)                                                 ,1997-0298
Cornus canadensis,bunchberry,Cornaceae,"N America, Asia",HD,137C (15)                                                 ,1996-0648
Cornus canadensis,bunchberry,Cornaceae,"N America, Asia",HD,"NURS (150), 6A (70), 6B (26)",2011-0231
Cornus canadensis,bunchberry,Cornaceae,"N America, Asia",HD,NURS (10)                                                 ,2014-0147
Cornus canadensis,bunchberry,Cornaceae,"N America, Asia",HD,"NURS (54), 96B (18)",2016-0272
Cornus canadensis,bunchberry,Cornaceae,"N America, Asia",HD,117 (7)                                                 ,1996-0317
Cornus canadensis,bunchberry,Cornaceae,"N America, Asia",HD,"135C (1), 117 (5)",1990-0398
Cornus controversa 'Variegata',variegated giant dogwood,Cornaceae,Garden Origin,TD,130A (1)                                                 ,1992-0505
Cornus 'Eddie's White Wonder',hybrid dogwood,Cornaceae,Garden Origin,TD,135C (1)                                                 ,1995-0317
Cornus 'Eddie's White Wonder',hybrid dogwood,Cornaceae,Garden Origin,TD,135C (1)                                                 ,1986-0086
Cornus 'Eddie's White Wonder',hybrid dogwood,Cornaceae,Garden Origin,TD,4 (3)                                                 ,1976-0351
Cornus 'Eddie's White Wonder',hybrid dogwood,Cornaceae,Garden Origin,TD,14 (3)                                                 ,2002-0151
Cornus 'Eddie's White Wonder',hybrid dogwood,Cornaceae,Garden Origin,TD,NURS (2)                                                 ,2016-0217
Cornus 'Eddie's White Wonder',hybrid dogwood,Cornaceae,Garden Origin,TD,"60T (6), 12 (1)",1987-0114
Cornus 'Eddie's White Wonder',hybrid dogwood,Cornaceae,Garden Origin,TD,"148 (1), 151 (1)",2007-0207
Cornus 'Eddie's White Wonder',hybrid dogwood,Cornaceae,Garden Origin,TD,"148 (1), 48N (1)",1985-0479
Cornus 'Eddie's White Wonder',hybrid dogwood,Cornaceae,Garden Origin,TD,135B (1)                                                 ,1994-0780
Cornus 'Eddie's White Wonder',hybrid dogwood,Cornaceae,Garden Origin,TD,117 (1)                                                 ,1994-0779
Cornus florida,eastern flowering dogwood,Cornaceae,"ENA, N Mex",TD,"46B (1), 46E (1), 48S (1), 13B (2)",1972-0327
