"","X","TaxonName","ItemAccNoFull","AccNoCons","ItemLocationCode","ItemSpecCount","ProvenanceCode","ItemCoordX","ItemCoordY","Family","Genus","Species","NAME","COMMON.NAME","FAMILY","NATIVITY","HABIT","LOCATION.and.QUANTITY","ACCN..","X.1","genus","family","order","group","binomial","id"
"122",2604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corymbia citriodora","lemon-scented gum","Myrtaceae","E Australia","TE","NURS (3)                                                 ","2017-0178",NA,NA,NA,NA,NA,NA,NA
"123",2605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corymbia citriodora","lemon-scented gum","Myrtaceae","E Australia","TE","SEAS (2)                                                 ","1995-0573",NA,NA,NA,NA,NA,NA,NA
"124",2663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crambe maritima","sea kale","Brassicaceae","Europe","HD","69B (9), 61 (2)","2003-0108",NA,NA,NA,NA,NA,NA,NA
"125",2798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyathea australis","tree fern","Cyatheaceae","Eastern Australia","TE","NURS (15)                                                 ","2017-0326",NA,NA,NA,NA,NA,NA,NA
"126",2799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyathea australis","tree fern","Cyatheaceae","Eastern Australia","TE","SEAS (1)                                                 ","2007-0005",NA,NA,NA,NA,NA,NA,NA
"127",2804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cycas revoluta","Japanese sago palm","Cycadaceae","Japan","SE","SEAS (1)                                                 ","1979-0573",NA,NA,NA,NA,NA,NA,NA
"128",2805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cycas revoluta","Japanese sago palm","Cycadaceae","Japan","SE","SEAS (1)                                                 ","2003-0165",NA,NA,NA,NA,NA,NA,NA
"129",2806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cycas revoluta","Japanese sago palm","Cycadaceae","Japan","SE","SEAS (1)                                                 ","1984-0033",NA,NA,NA,NA,NA,NA,NA
"130",2871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cypripedium japonicum","lady's-slipper orchid","Orchidaceae","China & Japan","HD","127A (1), 127B (2)","1999-0002",NA,NA,NA,NA,NA,NA,NA
"131",2950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Daphne oleoides","dwarf daphne","Thymelaeaceae","SE Spain to Himalayas","SE","51C (1)                                                 ","2015-0080",NA,NA,NA,NA,NA,NA,NA
"132",2965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Datisca cannabina","false hemp","Datiscaceae","Greece (Crete) to W Asia","HD","123 (12), 32B (1)","2016-0108",NA,NA,NA,NA,NA,NA,NA
"133",2972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decumaria barbara","wood vamp","Hydrangeaceae","SE USA","SD","33A (1)                                                 ","2013-0308",NA,NA,NA,NA,NA,NA,NA
"134",2973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decumaria barbara","wood vamp","Hydrangeaceae","SE USA","SD","NURS (2)                                                 ","2016-0214",NA,NA,NA,NA,NA,NA,NA
"135",3012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dennstaedtia punctilobula","eastern hay-scented fern","Dennstaedtiaceae","E North America","HD","NURS (10)                                                 ","2008-0494",NA,NA,NA,NA,NA,NA,NA
"136",3119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicksonia antarctica","Tasmanian tree fern","Dicksoniaceae","E Austrl (inc Tasmania)","HE","58 (3)                                                 ","2004-0017",NA,NA,NA,NA,NA,NA,NA
"137",3120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicksonia antarctica","Tasmanian tree fern","Dicksoniaceae","E Austrl (inc Tasmania)","HE","58A (2)                                                 ","1997-0691",NA,NA,NA,NA,NA,NA,NA
"138",3121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicksonia antarctica","Tasmanian tree fern","Dicksoniaceae","E Austrl (inc Tasmania)","HE","NURS (2)                                                 ","2017-0280",NA,NA,NA,NA,NA,NA,NA
"139",3122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicksonia antarctica","Tasmanian tree fern","Dicksoniaceae","E Austrl (inc Tasmania)","HE","NURS (4)                                                 ","2017-0297",NA,NA,NA,NA,NA,NA,NA
"140",3123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicksonia antarctica","Tasmanian tree fern","Dicksoniaceae","E Austrl (inc Tasmania)","HE","130A (3)                                                 ","1994-0001",NA,NA,NA,NA,NA,NA,NA
"141",3124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicksonia antarctica","Tasmanian tree fern","Dicksoniaceae","E Austrl (inc Tasmania)","HE","130D (5)                                                 ","2016-0149",NA,NA,NA,NA,NA,NA,NA
"142",3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicksonia antarctica","Tasmanian tree fern","Dicksoniaceae","E Austrl (inc Tasmania)","HE","130B (3)                                                 ","2014-0151",NA,NA,NA,NA,NA,NA,NA
"143",3163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dionaea muscipula","Venus flytrap","Droseraceae","North & South Carolina","HD","SEAS (5)                                                 ","2005-0083",NA,NA,NA,NA,NA,NA,NA
"144",3259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dryopteris carthusiana","narrow buckler fern","Dryopteridaceae","Can, USA, Eur & Eurasia","HD","128 (5), 130B (1)","1993-0145",NA,NA,NA,NA,NA,NA,NA
"145",3271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dryopteris dilatata","spiny wood fern","Dryopteridaceae","Ala to Maritimes; Europe","HD","48S (1)                                                 ","2003-0196",NA,NA,NA,NA,NA,NA,NA
"146",3272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dryopteris dilatata","spiny wood fern","Dryopteridaceae","Ala to Maritimes; Europe","HD","96A (1)                                                 ","1995-0411",NA,NA,NA,NA,NA,NA,NA
"147",3304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dryopteris goldiana","Goldie's wood fern","Dryopteridaceae","E North America","HD","NURS (25), 16 (3)","2017-0289",NA,NA,NA,NA,NA,NA,NA
"148",3305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dryopteris goldiana","Goldie's wood fern","Dryopteridaceae","E North America","HD","130B (10)                                                 ","2016-0152",NA,NA,NA,NA,NA,NA,NA
"149",3306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dryopteris goldiana","Goldie's wood fern","Dryopteridaceae","E North America","HD","NURS (20)                                                 ","2017-0057",NA,NA,NA,NA,NA,NA,NA
"150",3405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eichhornia azurea","water hyacinth","Pontederiaceae","Central America to N Argentina","W","SEAS (1)                                                 ","2005-0050",NA,NA,NA,NA,NA,NA,NA
"151",3442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ensete ventricosum","Abyssinian banana","Musaceae","Ethiopia","HE","SEAS (1)                                                 ","1990-0180",NA,NA,NA,NA,NA,NA,NA
"152",3443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ensete ventricosum","Abyssinian banana","Musaceae","Ethiopia","HE","SEAS (1)                                                 ","2001-0104",NA,NA,NA,NA,NA,NA,NA
"153",3599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erica cinerea","bell heather","Ericaceae","Norway to Brit,Sp &Italy","SE","65 (25)                                                 ","1974-1093",NA,NA,NA,NA,NA,NA,NA
"154",3847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eucommia ulmoides","gutta-percha tree","Eucommiaceae","C China","TD","74 (1)                                                 ","1992-0024",NA,NA,NA,NA,NA,NA,NA
"155",3850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eucryphia lucida","leatherwood, pinkwood","Cunoniaceae","Australia (Tasmania)","TE","46D (1)                                                 ","1977-0442",NA,NA,NA,NA,NA,NA,NA
"156",3947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Euptelea polyandra","Japanese euptelea","Eupteleaceae","C Japan","TD","85A (1)                                                 ","1997-0444",NA,NA,NA,NA,NA,NA,NA
"157",4363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gaura lindheimeri","white gaura","Onagraceae","La & Tex, s to Mexico","HD","39 (7)                                                 ","1994-0589",NA,NA,NA,NA,NA,NA,NA
"158",4364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gaura lindheimeri","white gaura","Onagraceae","La & Tex, s to Mexico","HD","55 (16)                                                 ","1995-0618",NA,NA,NA,NA,NA,NA,NA
"159",4411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gentiana verna","spring gentian","Gentianaceae","Britain, Ireland & Europe","HE","TR04 (1)                                                 ","2007-0211",NA,NA,NA,NA,NA,NA,NA
"160",4412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gentiana verna","spring gentian","Gentianaceae","Britain, Ireland & Europe","HE","TR04 (1)                                                 ","2007-0114",NA,NA,NA,NA,NA,NA,NA
"161",4413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gentiana verna","spring gentian","Gentianaceae","Britain, Ireland & Europe","HE","TR04 (1)                                                 ","2006-0063",NA,NA,NA,NA,NA,NA,NA
"162",4414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gentiana verna","spring gentian","Gentianaceae","Britain, Ireland & Europe","HE","NURS (2)                                                 ","2010-0226",NA,NA,NA,NA,NA,NA,NA
"163",4477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geranium tuberosum","tuberous cranesbill","Geraniaceae","Mediterranean to W Iran","HD","32 (1)                                                 ","1981-0694",NA,NA,NA,NA,NA,NA,NA
"164",4554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grevillea robusta","silk oak","Proteaceae","Australia (Qld & NSW)","TE","58 (1)                                                 ","2003-0178",NA,NA,NA,NA,NA,NA,NA
"165",4562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gunnera magellanica","creeping gunnera, pangue enano","Gunneraceae","S South America & Falk","HD","57 (6), 59 (6), 46F (3), 67 (24)","1997-0401",NA,NA,NA,NA,NA,NA,NA
"166",4563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gunnera magellanica","creeping gunnera, pangue enano","Gunneraceae","S South America & Falk","HD","59 (9)                                                 ","2013-0282",NA,NA,NA,NA,NA,NA,NA
"167",5929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lapageria rosea","Chilean bellflower, copihue","Philesiaceae","Chile","VE","NURS (12)                                                 ","2008-0365",NA,NA,NA,NA,NA,NA,NA
"168",6372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Limnanthes douglasii","meadow foam","Limnanthaceae","California & S Oregon","HD","22A (1)                                                 ","1974-1021",NA,NA,NA,NA,NA,NA,NA
"169",6373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Limnanthes douglasii","meadow foam","Limnanthaceae","California & S Oregon","HD","22A (5)                                                 ","1984-0382",NA,NA,NA,NA,NA,NA,NA
"170",6374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Limnanthes douglasii","meadow foam","Limnanthaceae","California & S Oregon","HD","24E (1), 22A (1), 88 (6)","1985-0005",NA,NA,NA,NA,NA,NA,NA
"171",6805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Melianthus major","honey bush","Melianthaceae","S Africa, nat in India","HE","SEAS (8)                                                 ","1995-0136",NA,NA,NA,NA,NA,NA,NA
"172",6872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mimulus moschatus","muskflower","Phrymaceae","BC to Nfld, s to W Va & Calif","HD","24E (10)                                                 ","2000-0238",NA,NA,NA,NA,NA,NA,NA
"173",6903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Molinia caerulea","purple moor grass","Poaceae","Eurasia","HD","24B (8)                                                 ","1994-0626",NA,NA,NA,NA,NA,NA,NA
"174",6904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Molinia caerulea","purple moor grass","Poaceae","Eurasia","HD","126A (29)                                                 ","1997-0251",NA,NA,NA,NA,NA,NA,NA
"175",6936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Morus australis","aino mulberry","Moraceae","China, Japan & Korea","TD","128 (1)                                                 ","1990-0600",NA,NA,NA,NA,NA,NA,NA
"176",7159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neillia sinensis"," ","Rosaceae","C China","SD","136 (1)                                                 ","1984-0057",NA,NA,NA,NA,NA,NA,NA
"177",7197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nymphaea alba","European white waterlily","Nymphaeaceae","N Africa & Eurasia","HD","LK04 (1)                                                 ","1991-0106",NA,NA,NA,NA,NA,NA,NA
"178",7455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oxalis triangularis","sorrel, shamrock","Oxalidaceae","Brazil & Peru to Arg","HD","46B (12)                                                 ","1995-0262",NA,NA,NA,NA,NA,NA,NA
"179",7467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pachysandra procumbens","Allegheny spurge","Buxaceae","SE USA","HD","16 (7)                                                 ","2016-0129",NA,NA,NA,NA,NA,NA,NA
"180",7470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pachystachys lutea","lollipop plant","Acanthaceae","Peru","SE","SEAS (3)                                                 ","2008-0300",NA,NA,NA,NA,NA,NA,NA
"181",7615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paulownia tomentosa","princess tree","Paulowniaceae","China","TD","136 (1)                                                 ","2000-0204",NA,NA,NA,NA,NA,NA,NA
"182",7616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paulownia tomentosa","princess tree","Paulowniaceae","China","TD","127D (1), 123 (3)","1981-0188",NA,NA,NA,NA,NA,NA,NA
"183",7819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Penstemon whippleanus","Whipple's penstemon","Plantaginaceae","Mont to Ariz & NMex","HD","24E (1), 52 (13)","1997-0588",NA,NA,NA,NA,NA,NA,NA
"184",7836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Persicaria campanulata","lesser knotweed","Polygonaceae","Himalayas","HE","47 (3), 121D (53), 121C (40)","1977-0733",NA,NA,NA,NA,NA,NA,NA
"185",7864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phellodendron amurense","Amur cork tree","Rutaceae","N China, Japan & Siberia","TD","127D (1)                                                 ","1973-0121",NA,NA,NA,NA,NA,NA,NA
"186",8040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phytolacca americana","poke, pigeonberry","Phytolaccaceae","S Ont & Que to Tex&Fla","HD","NURS (2)                                                 ","2003-0019",NA,NA,NA,NA,NA,NA,NA
"187",8044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picea abies","Norway spruce","Pinaceae","N&C Europe","TC","63 (1)                                                 ","1977-0718",NA,NA,NA,NA,NA,NA,NA
"188",8219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinus palustris","longleaf pine","Pinaceae","E USA (SE Virginia to Texas)","TC","NURS (2)                                                 ","2011-0066",NA,NA,NA,NA,NA,NA,NA
"189",8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Platanus orientalis","Oriental plane","Platanaceae","SE Europe to Asia Minor","TD","32T (1)                                                 ","1991-0434",NA,NA,NA,NA,NA,NA,NA
"190",8355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polemonium pulcherrimum","showy Jacob's-ladder","Polemoniaceae","Ala to Calif, Nev & Wyo","HD","24A (1)                                                 ","1999-0123",NA,NA,NA,NA,NA,NA,NA
"191",8356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polemonium pulcherrimum","showy Jacob's-ladder","Polemoniaceae","Ala to Calif, Nev & Wyo","HD","24E (5)                                                 ","2002-0045",NA,NA,NA,NA,NA,NA,NA
"192",8359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polygala chamaebuxus","shrubby milkwort","Polygalaceae","C Europe to Italy","SE","NURS (1)                                                 ","2010-0235",NA,NA,NA,NA,NA,NA,NA
"193",8360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polygala chamaebuxus","shrubby milkwort","Polygalaceae","C Europe to Italy","SE","32 (4)                                                 ","1973-0660",NA,NA,NA,NA,NA,NA,NA
"194",8382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polypodium vulgare","wall fern","Polypodiaceae","N Hemisphere","HE","NURS (1), 32 (10)","2017-0288",NA,NA,NA,NA,NA,NA,NA
"195",8383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polypodium vulgare","wall fern","Polypodiaceae","N Hemisphere","HE","135C (3)                                                 ","1995-0659",NA,NA,NA,NA,NA,NA,NA
"196",8385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polystichum acrostichoides","Christmas fern","Dryopteridaceae","Eastern North America","HE","10 (30)                                                 ","2015-0153",NA,NA,NA,NA,NA,NA,NA
"197",8386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polystichum acrostichoides","Christmas fern","Dryopteridaceae","Eastern North America","HE","90A (3), 48S (13)","2002-0343",NA,NA,NA,NA,NA,NA,NA
"198",8387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polystichum acrostichoides","Christmas fern","Dryopteridaceae","Eastern North America","HE","90A (1), 46C (1)","1997-0659",NA,NA,NA,NA,NA,NA,NA
"199",8388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polystichum acrostichoides","Christmas fern","Dryopteridaceae","Eastern North America","HE","117 (1)                                                 ","1990-0461",NA,NA,NA,NA,NA,NA,NA
"200",8389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polystichum acrostichoides","Christmas fern","Dryopteridaceae","Eastern North America","HE","46B (4)                                                 ","2004-0168",NA,NA,NA,NA,NA,NA,NA
"201",8390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polystichum acrostichoides","Christmas fern","Dryopteridaceae","Eastern North America","HE","66A (5), 49C (8)","2009-0102",NA,NA,NA,NA,NA,NA,NA
"202",8865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quercus montana","basket oak, chestnut oak","Fagaceae","Del to Fla & Texas","TD","46B (1), 45A (1)","1973-0118",NA,NA,NA,NA,NA,NA,NA
"203",8940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhodocoma capensis","Cape restio","Restionaceae","South Africa (W & E Cape)","HE","NURS (3)                                                 ","2009-0391",NA,NA,NA,NA,NA,NA,NA
"204",9260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhododendron campylocarpum"," ","Ericaceae","Himalayas","SE","123 (1)                                                 ","1980-0192",NA,NA,NA,NA,NA,NA,NA
"205",9261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhododendron campylocarpum"," ","Ericaceae","Himalayas","SE","139 (1)                                                 ","1974-0514",NA,NA,NA,NA,NA,NA,NA
"206",9262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhododendron campylocarpum"," ","Ericaceae","Himalayas","SE","124 (1)                                                 ","1982-0467",NA,NA,NA,NA,NA,NA,NA
"207",9263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhododendron campylocarpum"," ","Ericaceae","Himalayas","SE","123 (3)                                                 ","1982-0008",NA,NA,NA,NA,NA,NA,NA
"208",9264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhododendron campylocarpum"," ","Ericaceae","Himalayas","SE","85A (1)                                                 ","1981-0430",NA,NA,NA,NA,NA,NA,NA
"209",9265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhododendron campylocarpum"," ","Ericaceae","Himalayas","SE","121 (1)                                                 ","1983-0167",NA,NA,NA,NA,NA,NA,NA
"210",9820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhododendron ovatum"," ","Ericaceae","C&S China; Myanmar","SE","120 (1)                                                 ","1991-0236",NA,NA,NA,NA,NA,NA,NA
"211",9821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhododendron ovatum"," ","Ericaceae","C&S China; Myanmar","SE","136 (1)                                                 ","1982-0450",NA,NA,NA,NA,NA,NA,NA
"212",10074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhododendron trichocladum"," ","Ericaceae","Myanmar, Tibet & Yunnan","SE","122 (1)                                                 ","1982-0057",NA,NA,NA,NA,NA,NA,NA
"213",10075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhododendron trichocladum"," ","Ericaceae","Myanmar, Tibet & Yunnan","SE","NURS (1), 122 (3)","1982-0096",NA,NA,NA,NA,NA,NA,NA
"214",10076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhododendron trichocladum"," ","Ericaceae","Myanmar, Tibet & Yunnan","SE","122 (6)                                                 ","1981-0394",NA,NA,NA,NA,NA,NA,NA
"215",10077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhododendron trichocladum"," ","Ericaceae","Myanmar, Tibet & Yunnan","SE","121C (2), 122 (1)","1982-0094",NA,NA,NA,NA,NA,NA,NA
"216",10236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhus glabra","smooth sumac","Anacardiaceae","BC to Mex; Ont to Ga","TD","22A (4)                                                 ","1976-0170",NA,NA,NA,NA,NA,NA,NA
"217",10237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhus glabra","smooth sumac","Anacardiaceae","BC to Mex; Ont to Ga","TD","4 (3)                                                 ","2011-0287",NA,NA,NA,NA,NA,NA,NA
"218",10815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sarracenia minor","hooded pitcher plant","Sarraceniaceae","Southeastern USA (South Carolina to Florida)","HD","37A (6)                                                 ","2005-0075",NA,NA,NA,NA,NA,NA,NA
"219",10952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scirpus microcarpus","panicled or smallflower bulrush","Cyperaceae","North America","HE","NURS (20)                                                 ","2016-0286",NA,NA,NA,NA,NA,NA,NA
"220",11195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solanum pyracanthum","devil's thorn","Solanaceae","Africa & Madagascar","HE","SEAS (3)                                                 ","2008-0413",NA,NA,NA,NA,NA,NA,NA
"221",11371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Strelitzia nicolai","giant bird-of-paradise","Strelitziaceae","Afr (Natal & NE Cape)","HE","SEAS (1)                                                 ","2001-0327",NA,NA,NA,NA,NA,NA,NA
"222",11396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symphoricarpos mollis","western snowberry","Caprifoliaceae","BC to Calif, e to Nev & Ida","SD","135C (3)                                                 ","1995-0445",NA,NA,NA,NA,NA,NA,NA
"223",11442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syringa oblata","lilac","Oleaceae","China","SD","140 (1)                                                 ","1999-0500",NA,NA,NA,NA,NA,NA,NA
"224",11573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thalia dealbata","hardy water canna","Marantaceae","SC to Fla, Mo & Tex; Mex","W","SEAS (3)                                                 ","2005-0054",NA,NA,NA,NA,NA,NA,NA
"225",11599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thuja koraiensis","Korean arborvitae","Cupressaceae","Korea & NE China","TC","136 (1)                                                 ","1989-0042",NA,NA,NA,NA,NA,NA,NA
"226",11701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tibouchina urvilleana","princessflower","Melastomataceae","Brazil","SE","SEAS (1)                                                 ","1980-0900",NA,NA,NA,NA,NA,NA,NA
"227",11702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tibouchina urvilleana","princessflower","Melastomataceae","Brazil","SE","SEAS (4)                                                 ","1975-0479",NA,NA,NA,NA,NA,NA,NA
"228",11820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tripterygium regelii"," ","Celastraceae","N China, Japan & Korea","SD","127B (1), 121C (1)","1996-0737",NA,NA,NA,NA,NA,NA,NA
"229",11856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tropaeolum tricolor","solidado rojo, cornucopia nasturtium","Tropaeolaceae","Boliv & Chile","HD","NURS                                                  ","2008-0145",NA,NA,NA,NA,NA,NA,NA
"230",11957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turbina corymbosa","ololiuqui","Convolvulaceae","Tropical America & Africa","VE","STOR (2)                                                 ","1997-0495",NA,NA,NA,NA,NA,NA,NA
"231",12047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Verbascum nigrum","dark mullein","Scrophulariaceae","Britain & Europe to Sib","HE","39 (1)                                                 ","1985-0454",NA,NA,NA,NA,NA,NA,NA
"232",12235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Viola pubescens","downy yellow violet","Violaceae","NS to Miss & Okla","HD","27 (10)                                                 ","1980-0971",NA,NA,NA,NA,NA,NA,NA
"233",12297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wollemia nobilis","Wollemi pine","Araucariaceae","Australia (NSW, Blue Mts)","TC","58C (1)                                                 ","2016-0180",NA,NA,NA,NA,NA,NA,NA
"234",12353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yucca glauca","soapweed, lamparas de Dios","Asparagaceae","C North Amer","SE","91 (1)                                                 ","2002-0384",NA,NA,NA,NA,NA,NA,NA
"235",12381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zelkova serrata","Japanese zelkova","Ulmaceae","E China, Jpn, Kor & Taiw","TD","19 (1)                                                 ","1975-0483",NA,NA,NA,NA,NA,NA,NA
"236",12382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zelkova serrata","Japanese zelkova","Ulmaceae","E China, Jpn, Kor & Taiw","TD","85A (1)                                                 ","1979-1565",NA,NA,NA,NA,NA,NA,NA
"237",12383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zelkova serrata","Japanese zelkova","Ulmaceae","E China, Jpn, Kor & Taiw","TD","87 (1)                                                 ","1973-0632",NA,NA,NA,NA,NA,NA,NA
"238",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Chamaedaphne","Ericaceae","Ericales","Angiosperms","Chamaedaphne_calyculata","ubc"
